# Video data for LastWeekTonight (UC3XTzVzaHQEd30rQbuvCtTQ)
# id;publishedAt;title
e0bMfS-_pjM;2016-11-05T15:00:03.000Z;Voting On Tuesday - How Is This Still A Thing?: Last Week Tonight with John Oliver (HBO)
o8yiYCHMAlM;2016-10-31T06:30:30.000Z;School Segregation: Last Week Tonight with John Oliver (HBO)
5pdPrQFjo2o;2016-10-24T06:30:00.000Z;Opioids: Last Week Tonight with John Oliver (HBO)
k3O01EfM5fU;2016-10-17T06:30:00.000Z;Third Parties: Last Week Tonight with John Oliver (HBO)
KEbFtMgGhPY;2016-10-10T06:30:00.000Z;Guantánamo: Last Week Tonight with John Oliver (HBO)
zaD84DTGULo;2016-10-03T06:30:00.000Z;Police Accountability: Last Week Tonight with John Oliver (HBO)
h1Lfd1aB9YI;2016-09-26T06:30:01.000Z;Scandals: Last Week Tonight with John Oliver (HBO)
_kZsOISarzg;2016-09-20T21:31:29.000Z;Refugee Crisis: Last Week Tonight with John Oliver (HBO)
8l2Y6Z-maAU;2016-09-12T03:00:00.000Z;Birds: Last Week Tonight with John Oliver (Web Exclusive)
l_htSPGAY7I;2016-08-22T06:30:01.000Z;Charter Schools: Last Week Tonight with John Oliver (HBO)
XzCgVltuzEk;2016-08-29T03:00:01.000Z;Johnny Strong: Last Week Tonight with John Oliver (Web Exclusive)
apumpVGBpP8;2016-09-05T03:00:00.000Z;Labor Day: Last Week Tonight with John Oliver (Web Exclusive)
4U2eDJnwz_s;2016-08-15T06:30:01.000Z;Auto Lending: Last Week Tonight with John Oliver (HBO)
7-LPcVo7gC0;2016-08-08T23:41:11.000Z;Olympics Opening Ceremony: Last Week Tonight with John Oliver (HBO)
bq2_wSsDwkQ;2016-08-08T06:30:01.000Z;Journalism: Last Week Tonight with John Oliver (HBO)
BUCnjlTfXDw;2016-08-01T06:30:01.000Z;Democratic National Convention: Last Week Tonight with John Oliver (HBO)
32n4h0kn-88;2016-07-25T06:30:00.000Z;Campaign Songs: Last Week Tonight with John Oliver (HBO)
