# Video data for Binging with Babish (UCJHA_jMfCvEnv-3kRjTCQXw)
# id;publishedAt;title
bLW-o5UTWKU;2017-10-27T17:55:08.000Z;Livestream #1 | Basics with Babish
O0ZCSQF2sSA;2017-10-24T14:22:13.000Z;Binging with Babish: Turkish Delight from Chronicles of Narnia
Upqp21Dm5vg;2017-10-19T17:56:19.000Z;Sauces | Basics with Babish
NHA9Ffaal2M;2017-10-17T13:00:05.000Z;Binging with Babish: Michael Scott's Pretzel from The Office
1AxLzMJIgxM;2017-10-12T18:14:09.000Z;Essential Kitchen Tools | Basics with Babish
XIZxT7iI-QI;2017-10-10T13:00:06.000Z;Binging with Babish: Curb Your Enthusiasm Special
Bz1IXK6ahu0;2017-10-03T13:00:01.000Z;Binging with Babish: Cailles en Sarchophage from Babette's Feast
LGAfo5unZaw;2017-10-02T17:17:01.000Z;Cookbook drops tomorrow!
BagY2Mnz-TU;2017-09-26T13:00:01.000Z;Binging with Babish: Room Service from Mad Men
FoztKuXEYnQ;2017-09-19T13:00:01.000Z;Binging with Babish: Movie Theater Popcorn & Raisinets from Whiplash
lhc_bXGvmp0;2017-09-12T15:17:47.000Z;Binging with Babish: Szechuan Sauce Revisited (From Real Sample!)
A7afwIxo5lE;2017-09-05T13:00:00.000Z;Binging with Babish: Hors D'oeuvres Sandwich from Back to School
S7eUmZ4Sp3U;2017-08-29T13:00:04.000Z;Binging with Babish: The Ultimeatum from Regular Show
xugufifsB4s;2017-08-22T13:00:05.000Z;Binging with Babish: The Fitz Sandwich from Agents of S.H.I.E.L.D.
GO5P3fLTwA0;2017-08-15T13:00:04.000Z;Binging with Babish: Courtesan au Chocolat from Grand Budapest Hotel
5_sdhAFGmbw;2017-08-08T13:00:00.000Z;Binging with Babish: Puerco Pibil from Once Upon a Time in Mexico
VgtpaBOkvrA;2017-08-01T13:00:02.000Z;Binging with Babish: Zelda - Breath of the Wild
Enan6eEmtqM;2017-07-25T13:00:01.000Z;Binging with Babish: Lemon Pepper Wet from Atlanta
UvIkojfQDxA;2017-07-18T13:00:05.000Z;Binging with Babish 1 Million Subscriber Special: Taco Town & Behind the Scenes
Y_hc07rAQlc;2017-07-11T13:00:03.000Z;Binging with Babish: Game of Thrones
VnXu22HZBNQ;2017-07-04T18:31:27.000Z;Binging with Babish: Fried Chicken Lasagna & The Luther Burger from the Boondocks
v5tJBLfeurU;2017-06-27T13:01:27.000Z;Binging with Babish: Cocktail Special
6uIK3o32hig;2017-06-20T13:00:01.000Z;Binging with Babish: Tomate du Saltambique from The West Wing
2uHhKAjnvNc;2017-06-13T13:00:00.000Z;Binging with Babish: Freddy's Ribs from House of Cards
exQ6oGefSiA;2017-06-06T13:00:04.000Z;Binging with Babish: Chocolate Cake from Matilda
7EnWiGYT1g4;2017-05-31T13:00:43.000Z;Binging with Babish: Krabby Patty from Spongebob Squarepants
6PTuUMJ2Uh8;2017-05-23T13:00:01.000Z;Binging with Babish: Carol's Beet & Acorn Cookies (feat. Ashwin Enjoys Nature)
nEoSBL25RO4;2017-05-18T12:58:45.000Z;Binging with Babish: Twin Peaks Pancakes & Coffee (feat. Cocktail Chemistry)
MbRm5s3i2ik;2017-05-16T17:46:18.000Z;Binging with Babish: Master of None Carbonara
pw2A03Z91FI;2017-05-09T13:05:06.000Z;Binging with Babish: Seinfeld Special Volume I
27mUWs2wjPs;2017-05-02T12:53:36.000Z;Binging with Babish: Homer Simpson's Patented Space Age Out-Of-This-World Moon Waffles
8DCw_eR_iPA;2017-04-27T13:10:33.000Z;Binging with Babish: Boeuf Bourguignon from Julie & Julia
KxPgrGdSHh8;2017-04-19T13:03:06.000Z;Binging with Babish: South Park Special
GXDQOSbcmv4;2017-04-11T12:49:33.000Z;Binging with Babish: Tampopo Ramen
wBhhlE92mIQ;2017-04-04T13:00:31.000Z;Binging with Babish: Rick & Morty Szechuan Sauce
hXYoduN0kWs;2017-03-28T12:58:56.000Z;Binging with Babish: Cubanos from Chef
22kHNWK1eLk;2017-03-18T19:00:58.000Z;Bacon Pancakes
HsxBw6ls7Z0;2017-03-18T14:41:46.000Z;Binging with Babish: Jake's Perfect Sandwich from Adventure Time
basFyoMSjds;2017-03-14T13:17:19.000Z;Binging with Babish: Bob's Burgers
h2sRyjR1mFc;2017-03-06T19:40:46.000Z;Binging with Babish: Channel Trailer
ZsBWgeQHjnM;2017-03-06T14:00:30.000Z;Binging with Babish: Pollo a la Plancha from Moonlight
roCX0AfBseQ;2017-03-02T15:27:10.000Z;Binging with Babish: Ratatouille (Confit Byaldi) from Ratatouille
Q2ezpExQ_k0;2017-02-20T14:23:37.000Z;Binging with Babish: It's Always Sunny in Philadelphia Special
iX7Dzr2whWQ;2017-02-06T14:56:47.000Z;Binging with Babish: Lovers' Delight Sundae from 30 Rock
7H3z3J50XCs;2017-01-23T18:02:57.000Z;Binging with Babish: Strudel from Inglourious Basterds
eQ9eY0_DoEk;2017-01-18T19:07:15.000Z;Binging with Babish: Kevin's Famous Chili from The Office
Izvd-iztaQk;2017-01-12T16:08:17.000Z;Binging with Babish: Fish Tacos from I Love You, Man
OmwE0aJqkdA;2017-01-03T18:18:13.000Z;Binging with Babish: Big Kahuna Burger from Pulp Fiction
PsuoXi2D6tM;2016-12-20T16:53:39.000Z;Binging with Babish: Breakfast Dessert Pasta from Elf
eVgmI-YF16g;2016-12-13T17:22:29.000Z;Binging with Babish: Eggs Woodhouse for Good
A_l8_C-EO38;2016-12-05T20:11:55.000Z;Binging with Babish: World's Greatest Sandwich from Spanglish
uEjMyHccX8U;2016-11-30T19:16:23.000Z;Binging with Babish: Goodfellas Prison Sauce
vjZXcapkFEU;2016-11-14T21:03:57.000Z;Binging with Babish: The Moistmaker from Friends
-Vy12e0LjX4;2016-09-23T13:19:26.000Z;Binging with Babish - How to Make Apple Pie
Zru1yk--rGQ;2016-08-21T17:15:19.000Z;Binging with Babish - How to make a real Philly Cheesesteak from "Creed"
KUu2gJn1dzc;2016-04-30T19:27:08.000Z;How to Make New-York-Style Pizza - TMNT II: Secret of the Ooze
bJUiWdM__Qw;2016-03-25T07:54:05.000Z;Binging with Babish: Pasta Aglio e Olio from "Chef"
7UEIBdMyj9g;2016-03-16T13:05:08.000Z;Binging with Babish: Louis C.K.'s Potluck Fried Chicken
akO6D_tc0lo;2016-03-14T13:18:00.000Z;How to Reverse-Sear a Steak
dVRl1aP28BI;2016-03-13T21:23:32.000Z;Croque Madame: The Ultimate Breakfast Sandwich
mv1z2p3to0U;2016-03-13T19:47:21.000Z;Reddit AMA: What's Your Favorite Healthy 5-Minute Snack?
PIsIE0oHGgo;2016-02-20T17:18:16.000Z;Binging with Babish: Il Timpano from Big Night
MP_nWuLYpJw;2016-02-10T15:04:51.000Z;Binging with Babish: Parks & Rec Burger Cookoff
T6LAwn7qlpE;2010-04-16T01:33:04.000Z;Miracle Blade Test
WfLHhO-bCFE;2007-04-18T17:10:02.000Z;300 - Army Of Darkness
RwGfqexvlts;2007-02-23T08:17:28.000Z;Water-Proof Trailer
